11	-7.12	41.81		2851	6775	4567
3550930	-9.21	-9.70	43.68		3736	6556	5034
3551084	-8.84	-9.71	43.67		3680	6555	5058
3551439	7.85	-7.05	44.70		1010	7145	5798
3551591	8.56	-7.19	44.57		1187	6813	5767
3551845	7.58	-7.66	36.65		1403	5591	5426
3552098	6.40	-3.42	29.10		1226	4477	4803
3552250	6.11	-3.49	28.91		1324	4522	4818
3552503	2.41	-2.66	23.53		1310	3777	4394
3552756	0.80	-4.77	24.66		1754	3195	4472
3552909	0.78	-4.88	24.80		1726	3211	4485
3553162	10.03	-4.30	26.42		1006	3293	4880
3553417	19.21	3.09	23.97		-472	2639	4507
3553568	19.86	3.19	23.90		-517	2597	4518
3553822	44.52	-2.86	22.25		-426	2272	4473
3554076	50.03	-3.24	24.81		-1286	2290	4481
3554231	50.28	-3.23	24.67		-1312	2242	4439
3554486	53.51	-8.09	13.63		544	1836	4031
3554638	53.88	-8.09	13.35		572	1785	4085
3554891	57.66	-3.55	9.60		246	826	4018
3555041	-31.12	nan	25.84		28015	21310	28393
3555298	57.75	-0.76	6.56		459	348	4026
3555447	57.69	-0.75	6.52		468	340	4016
3555698	57.78	0.85	6.00		330	136	3997
3555848	57.78	0.87	5.98		336	138	3996
3556098	57.56	1.90	5.55		316	9	3972
3556244	57.54	1.93	5.54		314	6	3974
3556492	57.14	2.20	5.53		308	-17	3966
3556640	57.11	2.20	5.52		307	-16	3965
3556890	56.61	2.28	5.39		324	-44	3964
3557039	56.59	2.28	5.39		322	-42	3964
3557390	56.64	2.55	4.51		382	-109	3959
3557539	56.69	2.55	4.47		384	-114	3956
3557790	57.78	2.83	3.62		417	-172	4000
3557941	57.73	2.85	3.59		402	-171	3995
3558192	58.52	3.56	3.50		369	-235	3986
3558341	58.56	3.55	3.49		368	-236	3986
3558592	58.39	3.04	4.35		344	-116	3962
3558743	58.35	3.02	4.38		346	-111	3960
3558993	56.35	2.24	4.94		342	9	3976
3559140	56.33	2.23	4.94		341	14	3974
3559389	55.55	2.17	5.04		359	4	3954
3559535	55.55	2.17	5.04		361	6	3957
3559783	55.40	2.09	5.14		367	5	3975
3559929	55.40	2.09	5.15		364	4	3976
3560177	55.75	1.83	4.89		397	21	3977
3560325	55.77	1.83	4.88		395	18	3979
3560573	56.11	1.92	4.75		389	-34	3966
3560722	60.04	1.66	4.36		-30014	-10295	3400
3560979	55.07	1.93	4.85		377	-12	3981
3561127	55.05	1.94	4.85		374	-10	3984
3561377	54.56	2.19	4.83		338	-54	3974
3561526	54.55	2.19	4.83		345	-55	3971
3561776	54.59	2.28	4.84		358	-60	3983
3561925	54.60	2.28	4.84		361	-62	3983
3562175	54.59	2.30	4.91		355	-44	3975
3562323	54.61	2.30	4.90		353	-45	3976
3562573	41.80	3.66	4.48		325	-76	3949
3562722	41.25	3.78	4.33		279	-86	3953
3562972	44.19	5.24	-8.76		1569	-1449	4157
3563125	44.42	5.39	-9.08		1444	-1460	4092
3563379	44.59	9.02	-15.26		1156	-1911	4599
3563635	51.99	6.81	-5.23		641	-892	4238
3563786	52.39	6.70	-4.83		578	-820	4214
3564038	64.84	3.16	5.75		-247	78	4072
3564186	65.39	3.01	5.91		-20151	27300	-14792
3564444	75.53	-3.29	11.19		-322	844	3988
3564597	77.46	47.56	-10.84		29304	-28891	-22251
3564959	108.80	-10.58	17.30		-1612	549	4552
3565115	109.02	-10.82	17.52		-1677	572	4559
3565371	117.02	-23.37	17.90		-2189	1512	4552
3565629	125.86	-20.89	14.04		-1787	1067	4406
3565887	141.28	-20.48	13.04		-1773	364	4527
3566043	142.16	-20.50	13.06		-1892	309	4559
3566300	178.35	30.90	78.07		-7389	1458	11304
3566557	-26.25	-47.89	4.20		4946	531	10337
3566711	-29.98	-42.93	11.82		4176	1038	9479
3566968	-31.91	45.72	72.91		1928	7719	6701
3567123	-51.52	nan	42.15		19972	26315	-28657
3567380	-80.61	-51.73	-8.95		-1856	-6775	6256
3567639	-67.70	-34.74	-73.55		-6942	-2695	10028
3567900	-104.68	-14.11	-85.10		-6541	2129	11158
3568161	-127.91	-5.71	-69.18		-4065	3763	8480
3568420	-138.99	-1.80	-51.55		-2706	3369	6596
3568678	-139.21	1.01	-39.98		-1813	3164	5406
3568936	-139.85	-0.24	-30.88		-1302	2097	4673
3569196	-143.54	-1.34	-26.77		-1015	1790	4338
3569454	-143.67	-1.56	-21.99		-622	1244	4067
3569712	-136.03	-0.58	-16.90		63	519	3896
3569864	-135.61	-0.58	-16.83		95	494	3895
3570119	-121.14	-0.19	-16.47		-67	535	3873
3570374	-137.47	0.36	-16.18		-222	563	3654
3570629	-128.63	2.51	-14.97		480	557	3800
3570783	-127.60	2.45	-15.05		450	490	3807
3571038	-106.89	3.27	-20.49		-769	688	3667
3571293	-108.14	4.48	-20.70		-661	1050	3631
3571549	-128.17	6.17	-20.02		-243	1282	3661
3571704	-128.75	6.28	-19.84		-213	1323	3687
3571961	-122.77	9.72	-14.08		576	906	3468
3572115	-122.42	9.75	-14.04		7928	3235	-15830
3572373	-93.61	11.19	-15.53		-159	1221	3432
3572630	-109.77	10.24	-15.77		423	787	3320
3572784	-49.61	nan	-84.97		24548	23598	-8605
3573042	-117.22	21.64	-14.01		1114	2207	3760
3573300	-109.68	20.13	-16.57		325	1970	3335
3573557	-106.13	16.15	-24.25		-698	1994	3322
3573713	-115.00	-19.52	153.86		-12595	3933	1952
