.05	-6.43	-1.40		509	-53	3787
673765	134.30	-4.68	-8.90		1369	95	3866
674017	146.57	-4.68	-18.68		1913	1279	4242
674171	146.76	-4.75	-18.98		1899	1342	4246
674426	149.74	-4.61	-21.38		1370	1512	4170
674581	149.77	-4.48	-21.21		1360	1479	4160
674836	154.52	-0.08	-18.92		1130	626	4025
674990	154.58	0.17	-19.01		1178	614	4023
675243	155.92	3.94	-23.42		2358	1320	4305
675497	161.97	5.01	-18.72		1924	564	4064
675650	162.09	5.13	-18.56		1923	544	4078
676003	164.38	4.03	-16.09		1249	312	3697
676156	164.37	4.00	-16.09		1233	302	3685
676409	165.04	0.66	-14.04		823	111	3614
676560	-17.62	nan	42.26		16156	-11192	-10438
676817	166.65	-0.87	-11.40		348	-149	3665
677072	172.93	6.16	-13.01		1060	-73	3654
677224	173.30	6.58	-13.16		1189	-64	3634
677478	-155.36	20.52	-21.17		2041	2473	4156
677734	-115.64	-5.33	-25.03		-117	2238	2916
677991	106.64	-8.67	151.86		-2403	8547	23128
678148	97.16	4.05	150.47		12017	-19865	19349
678406	-29.17	-61.97	73.28		4118	7710	7848
678661	-81.41	-39.47	123.22		4945	5089	13175
678919	-63.57	-62.75	97.23		4916	4166	10564
679074	-60.87	-63.87	93.99		4989	4327	10435
679331	-35.78	7.74	-23.33		-4246	483	4179
679484	-38.24	9.81	-24.22		-4654	766	4356
679739	-70.38	37.00	-42.55		-5103	2543	6095
679895	-71.22	37.09	-43.11		-5119	2564	6100
680151	-86.23	37.25	-38.06		-3135	3766	6093
680408	-96.71	33.70	-31.24		-1771	3794	5061
680563	-97.35	33.61	-30.94		-1649	3793	5095
680819	-94.80	33.40	-21.14		-601	3737	4722
681176	-85.10	33.65	-13.96		-265	3424	4376
681330	-84.91	33.63	-13.79		-305	3411	4369
681586	-74.15	29.45	-8.91		-185	2912	3936
681740	-73.96	29.28	-8.88		-164	2885	3917
682095	-67.09	21.86	-9.56		-153	1872	3433
682248	-66.95	21.74	-9.71		-287	1818	3402
682603	-65.65	23.66	-4.33		168	2043	3478
682756	-65.37	23.95	-4.08		180	2123	3488
683009	-62.88	30.05	7.71		917	3258	3851
683160	6.50	-11.96	43.44		-2923	-28542	-9192
683418	-57.98	31.97	18.95		2099	4092	4482
