12	11.76	-2.08		620	-338	2715
728926	15.15	11.41	-2.07		655	-326	2713
729178	18.68	0.21	-0.54		1788	398	3072
729327	18.88	-0.10	-0.60		1858	437	3103
729579	15.30	-1.45	-0.99		2081	285	3133
729832	16.70	0.07	-0.56		1844	309	3293
729981	16.75	0.07	-0.60		1844	292	3286
730232	18.10	1.36	0.45		1554	385	3318
730381	18.09	1.46	0.50		1536	383	3315
730631	19.15	4.72	0.97		1063	299	3319
730780	19.18	4.77	0.98		1056	300	3319
731030	19.48	6.78	1.43		751	302	3322
731177	19.50	6.82	1.41		751	291	3319
731426	19.82	7.65	1.00		684	194	3338
731574	19.80	7.65	1.00		682	198	3339
731823	20.22	8.79	0.76		526	120	3334
731971	20.24	8.82	0.76		526	121	3334
732220	20.74	9.25	0.71		505	102	3343
732367	20.75	9.27	0.72		501	101	3342
732616	20.80	9.46	1.27		451	166	3330
732764	20.80	9.45	1.29		454	174	3330
733012	21.13	9.56	1.27		454	145	3314
733160	21.14	9.55	1.26		455	146	3315
733409	21.34	9.55	0.82		466	114	3316
733556	21.35	9.57	0.80		466	105	3318
733805	21.39	9.33	1.25		483	176	3308
733954	21.41	9.34	1.26		483	175	3309
734202	21.45	9.77	1.58		398	181	3302
734350	21.43	9.74	1.58		402	190	3303
734599	21.19	8.48	1.31		588	187	3319
734746	21.18	8.46	1.31		595	187	3317
734995	21.15	8.36	1.87		577	253	3319
735142	21.14	8.37	1.89		577	255	3323
735493	19.72	8.37	1.01		589	121	3303
735640	19.73	8.36	0.97		585	125	3299
735889	20.81	6.74	0.82		799	207	3352
736036	20.78	6.74	0.82		784	206	3350
736285	19.70	6.72	1.30		734	285	3385
736433	19.67	6.74	1.30		737	282	3388
736681	22.62	5.73	0.61		630	265	3393
736830	22.99	5.52	0.49		748	290	3388
737179	20.83	4.91	-0.14		957	182	3530
737329	20.72	5.00	-0.06		949	190	3533
737679	27.62	-7.90	12.12		1362	2067	4074
737831	27.51	-8.35	12.57		1367	2129	4102
738084	15.32	-17.27	28.00		1645	3269	5188
738339	16.76	-23.49	33.95		2412	4057	5730
738493	17.00	-23.65	34.02		2389	4038	5719
738747	23.99	-25.89	32.13		2044	3790	5205
738900	23.99	-25.75	31.75		2046	3737	5169
739154	27.86	-20.44	23.40		878	2107	4480
739408	28.82	-25.47	22.05		1525	2260	4342
739562	28.74	-25.77	21.99		1579	2255	4372
739816	40.60	-33.03	11.96		2751	2416	4621
739970	40.87	-33.04	11.48		2780	2375	4617
740325	75.77	-33.74	0.05		1601	2600	4089
740477	77.45	-33.94	-0.24		1573	2717	4034
740731	133.98	5.42	43.98		103	1715	4972
740984	-51.18	-37.87	-53.99		-3097	4523	12506
741344	-10.94	67.53	116.06		3150	8329	9805
741498	-10.34	68.57	117.45		3185	8147	9771
741754	-128.62	-1.68	21.83		926	-435	4623
741907	-129.06	-5.35	21.30		476	-830	4625
742162	-63.64	-40.38	-90.77		-6442	-1854	11370
742421	-107.88	16.97	-98.41		-5629	2542	12668
742579	32.96	nan	-19.96		-29659	-27298	-11827
742838	-114.24	55.12	-68.10		-4410	3741	8971
743096	-110.94	50.11	-38.73		-2200	4567	6806
743353	-117.14	35.41	-24.55		-919	3246	5117
743610	-116.50	25.92	-16.95		-540	2119	4312
743766	-116.33	25.68	-16.77		-526	2082	4295
744023	-100.56	21.67	-13.15		-752	1293	3859
744279	-86.17	21.14	-9.89		-674	993	3755
744431	-85.85	21.06	-9.74		-645	985	3749
744684	-96.25	15.78	-6.06		-45	276	3469
744836	-96.20	15.76	-5.96		26572	-23056	-16823
745095	-93.55	14.77	-3.70		151	267	3339
745348	-75.00	17.64	-2.17		-51	483	3337
745498	-74.53	17.90	-2.10		-114	546	3345
745751	-75.14	25.62	0.36		211	1787	3345
745903	-74.52	25.57	0.43		199	1729	3335
746256	-55.38	22.61	3.16		124	1188	3094
746407	-55.12	22.56	3.14		127	1185	3089
746659	-44.76	19.01	0.60		6	485	2939
746807	-44.65	18.92	0.57		12	488	2932
747057	-38.36	16.84	0.48		81	261	2900
747206	-37.43	16.73	0.60		107	226	2885
747457	-25.09	14.12	8.78		782	539	2979
747607	-25.11	14.21	9.16		773	557	2988
747858	-29.36	24.19	24.93		896	3615	3639
748010	62.61	-8.42	19.87		9396	-2284	-13713
748268	-29.21	19.67	16.93		939	2477	2992
748521	-26.64	16.28	7.70		353	315	2621
748672	-26.87	16.31	7.56		325	355	2621
748922	-21.41	14.65	1.45		242	-132	2536
749073	-21.28	14.62	1.31		234	-136	2541
749326	-21.02	15.41	0.33		92	-218	2486
749475	-21.04	15.46	0.39		86	-197	2481
749726	-20.79	15.43	2.28		201	81	2450
749876	-20.83	15.43	2.28		187	85	2451
750126	-20.18	13.78	-0.10		296	-300	2380
750379	-19.91	14.17	-0.01		290	-245	2368
750530	-19.57	14.19	0.01		279	-276	2372
750783	-20.00	15.15	2.18		267	2	2346
750930	-20.05	15.18	2.22		254	10	2337
751180	-20.07	15.01	1.44		239	-149	2448
751332	-20.17	15.02	1.51		243	-140	2454
751584	-21.39	14.72	2.27		292	188	2371
751733	-15.19	14.67	3.05		-13462	-32324	-20668
751993	-21.74	15.15	1.62		-8	230	2412
