3.70	29.22	53.26		-4538	-2969	5125
1963226	102.24	24.26	30.81		-1359	-2387	3530
1963484	89.54	19.40	24.94		-1510	-1494	2908
1963741	89.59	14.60	24.42		-1491	-991	2637
1964098	75.79	18.41	25.43		-2091	-972	2732
1964253	74.95	18.47	24.91		-2081	-981	2709
1964509	56.38	2.18	0.05		2543	-473	2531
1964660	56.08	1.57	-0.14		2657	-403	2538
1964914	37.60	-18.51	-2.94		4137	586	3433
1965169	17.66	-13.91	-0.17		3363	-646	3596
1965425	5.19	0.17	1.50		1263	-1283	3345
1965577	4.87	0.72	1.51		1178	-1303	3329
1965829	-11.24	13.02	2.41		-470	-1186	2867
1966085	-12.77	14.28	8.26		-749	-243	2983
1966239	-12.78	14.17	8.39		-716	-226	2982
1966493	-14.61	10.10	10.11		-58	-253	2869
1966647	-14.65	10.04	10.15		-48	-235	2895
1967003	-9.25	4.29	7.48		680	-693	2892
1967153	-9.20	4.31	7.53		666	-653	2913
1967405	-7.78	3.37	6.00		717	-920	2943
1967555	-7.81	3.32	5.98		714	-902	2932
1967806	-7.46	-2.40	2.08		1358	-1549	3361
1968061	-5.21	-10.74	6.56		2063	-933	3853
1968215	-4.65	-11.21	6.80		2128	-866	3891
1968571	39.06	-22.88	3.83		4124	1372	3835
1968724	39.79	-22.13	3.95		4089	1419	3821
1968979	109.51	31.07	25.95		206	-3194	5097
1969134	111.58	32.17	27.19		226	-3381	5194
1969390	123.45	-3.62	11.33		-382	1337	3795
1969546	123.46	-4.85	10.40		3905	26917	-1378
1969804	127.26	3.35	17.53		-764	-86	3646
1970057	131.72	-1.51	9.85		207	557	4002
1970208	131.54	-2.91	8.21		220	940	4000
1970461	124.11	-13.41	-7.11		886	3355	3549
1970717	130.29	15.13	23.87		-71	-1999	4456
1970873	130.91	16.14	25.13		-95	-2255	4539
1971129	122.49	15.61	25.49		-316	-2205	3807
1971386	98.19	-10.44	2.53		-71	1984	2979
1971538	97.97	-11.53	0.83		274	2145	3128
1971792	92.26	-20.88	-14.93		3251	2819	4368
1972049	103.39	-13.41	-4.43		1754	1795	3979
1972306	118.79	-1.34	7.78		-101	523	3247
1972459	119.70	-0.53	8.46		-86	398	3215
1972711	147.94	17.95	43.46		412	-4006	5040
1972967	133.77	2.25	10.90		219	665	2827
1973118	132.77	1.90	10.19		-25707	25742	-4552
1973379	131.74	11.31	12.81		542	-822	3022
1973634	145.46	12.19	24.51		402	-2038	3947
1973788	145.28	11.82	24.31		-20527	-9776	-3131
1974048	131.64	-0.82	14.29		-640	256	3076
1974303	133.49	-2.14	1.64		521	1645	2866
1974456	133.66	-1.93	1.60		543	1635	2868
1974710	140.90	5.11	16.50		584	-539	3178
1974862	140.70	4.78	16.53		493	-530	3143
1975116	141.45	-1.23	13.93		-506	-33	2846
1975371	141.70	-0.44	10.78		2	868	3069
1975522	142.03	-0.30	10.79		97	942	3115
1975774	143.11	1.33	12.57		-70	28	2886
1975924	143.15	1.44	12.50		20131	-22353	4690
1976182	142.55	4.05	11.50		442	78	2803
1976333	142.55	3.95	11.50		433	88	2800
1976585	142.42	1.91	14.28		-103	-32	2735
1976839	140.15	2.79	11.69		333	135	3232
1976990	139.87	2.76	11.39		382	193	3277
1977242	129.93	-14.58	-25.40		2615	5016	4754
1977501	146.73	18.38	18.42		4733	5997	4678
1977757	-172.36	-8.70	178.87		-127	-284	20113
1978016	-130.42	6.20	-152.31		-2552	2101	18599
1978276	-115.92	19.13	-113.74		-4386	185	14050
1978537	-134.44	25.23	-97.09		-5386	2735	11278
1978798	-131.71	27.00	-82.09		-5190	3605	9395
1979057	-132.97	22.72	-66.25		-3875	3759	7328
1979317	-135.48	18.27	-53.14		-2885	3518	5980
1979576	-142.22	19.04	-46.31		-1969	3500	5177
1979835	-143.30	16.50	-45.78		-2110	3408	4806
1980094	-144.76	8.58	-44.61		-2542	3089	4223
1980353	-149.18	2.36	-41.14		-2756	2605	3983
1980611	-149.04	0.83	-35.67		-2552	1907	3525
1980869	-147.07	2.47	-30.05		-1982	1431	3078
1981026	-132.49	-24.60	15.68		20529	-17172	-9179
1981289	-147.22	3.38	-22.40		-1430	707	2745
1981445	-147.18	3.46	-22.27		18829	31543	-2925
1981705	-130.98	9.97	-6.86		693	-279	2262
