8.82	-0.51	178.05		-25613	31847	-10430
1122259	135.20	-28.12	9.96		-3173	2450	1378
1122516	122.31	-23.17	5.76		-2009	2817	772
1122671	122.24	-22.95	5.43		-1923	2842	788
1122927	113.14	-16.98	8.95		-1393	2519	407
1123083	112.75	-16.87	9.32		-1443	2476	411
1123339	93.96	-15.66	19.87		-2438	2541	873
1123595	85.55	-13.39	19.03		-2346	2659	779
1123749	85.60	-13.25	18.79		-2312	2635	770
1124005	88.81	-7.67	6.49		-788	1740	124
1124157	89.53	-7.64	5.92		-809	1745	128
1124410	132.52	-15.16	-57.78		6229	7287	6841
1124668	-176.77	-28.59	-103.66		929	9532	13330
1124928	-124.41	-43.44	-126.28		-3277	7587	15053
1125292	98.08	-57.14	57.85		-5968	4474	8737
1125448	98.20	-55.26	58.36		-5946	4236	8372
1125705	166.26	-82.38	-34.53		-4119	8772	10736
1125965	135.66	-67.13	-44.78		877	7974	8964
1126223	123.85	-48.68	-13.79		-867	7390	5886
1126481	139.76	-11.36	33.29		-2170	3	4045
1126635	140.60	-10.45	34.76		-2174	-273	4046
1126893	161.43	-27.01	11.52		-3803	1774	4123
1127151	150.67	-29.88	-7.17		-2683	4974	4056
1127409	156.05	-8.49	16.72		-1391	720	3262
1127565	156.10	-7.79	17.58		-1321	550	3272
1127821	161.80	-9.98	0.24		-1070	2532	2814
1127975	19.28	nan	-12.51		-6421	-2004	23591
1128231	160.53	-3.52	7.32		-453	1032	3031
1128486	160.85	-1.46	8.05		-207	930	3186
1128639	160.79	-1.38	8.14		-193	906	3174
1128893	159.57	-0.91	10.03		-240	711	2989
1129148	158.78	-1.19	12.42		-442	630	2879
1129302	158.61	-1.12	12.58		-475	599	2886
1129556	160.39	-3.32	10.05		-398	1451	2843
1129711	160.27	-3.49	10.11		1658	9769	-27911
1129969	153.53	2.79	13.51		117	209	3619
1130122	-171.51	-52.29	127.37		14519	-6043	-23789
1130385	152.43	1.52	8.75		200	907	2865
1130535	152.50	1.45	8.73		193	899	2871
1130787	154.75	1.39	10.38		170	526	3004
1130939	154.75	1.35	10.39		168	533	3010
1131191	154.53	-0.09	9.15		72	847	2965
1131341	154.51	-0.08	9.20		76	854	2966
1131593	153.58	-2.55	8.55		-152	1087	2994
1131747	153.64	-2.60	8.53		-158	1100	2994
1132002	158.09	-1.32	8.85		-6	934	3075
1132152	158.12	-1.26	8.89		-7	907	3076
1132403	158.43	0.99	9.25		141	683	3033
1132554	158.44	1.05	9.26		149	681	3034
1132806	158.25	-0.14	9.64		1	684	3077
1132955	158.28	-0.20	9.63		-6	707	3081
1133206	158.01	-1.20	9.90		-180	640	3155
1133460	160.50	3.25	8.74		480	720	3145
1133611	160.63	3.45	8.73		527	716	3161
1133861	151.07	2.54	5.48		803	1084	3174
1134013	150.57	2.28	5.36		801	1112	3140
1134266	124.39	13.41	47.97		-803	9752	1853
1134422	126.40	18.05	54.19		-2304	9669	4335
1134679	-6.40	40.06	66.02		-2641	15187	7387
1134936	137.08	9.74	-144.05		-304	4039	16802
1135093	25.92	18.25	-162.60		-9505	19302	-13188
1135354	83.31	-42.23	-53.64		5725	2030	8820
1135511	81.32	-41.69	-51.23		5694	2036	8700
1135768	-10.46	0.02	-13.79		35	-2629	3919
1135922	179.50	-4.06	178.72		-1749	487	-269
1136179	-58.05	37.53	-11.13		-3415	2247	5518
1136437	-94.06	42.29	-26.38		-2679	3649	5921
1136695	-108.86	39.25	-33.69		-2757	4172	6788
1136954	-101.42	30.54	-21.61		-2178	3108	4997
1137214	-99.47	22.66	-12.36		-725	1165	3911
1137471	-96.86	20.98	-9.35		-911	1558	3986
1137626	-96.11	20.93	-9.04		-968	1549	3987
1137882	-56.52	13.83	22.12		2353	1563	4657
1138036	-55.88	13.36	22.98		4390	-24855	-15924
1138297	-36.08	-0.91	36.22		3732	2311	4571
1138553	-34.46	-2.02	28.62		2942	1433	4091
1138808	-34.89	4.80	21.32		1733	1131	3751
1138963	-35.07	5.22	21.06		1664	1154	3741
1139218	-45.05	12.99	13.74		295	851	3237
1139371	-45.17	13.08	13.73		258	867	3223
1139624	-47.53	14.88	9.88		-212	904	3178
1139877	-47.83	12.46	3.64		-482	-119	3190
