1.24	9.86	31.09		1036	-4060	4484
2251397	162.33	9.89	31.80		1092	-4084	4558
2251653	-154.70	-7.73	72.63		4511	-5169	8071
2251911	-145.38	-17.27	57.95		3884	-4335	6118
2252170	-141.89	-13.02	37.58		2413	-2749	3780
2252430	-141.99	-1.17	21.67		2612	-139	3269
2252585	-142.31	-0.85	21.17		2630	-106	3275
2252843	-152.91	8.60	-2.69		1548	2624	3003
2253099	-144.35	-10.85	26.36		1477	-2154	3618
2253358	-136.39	-16.23	23.74		1228	-1886	3732
2253617	-130.45	-3.18	11.88		1015	897	2707
2253772	-129.93	-3.03	12.18		1056	929	2731
2254028	-126.97	-7.45	23.37		2045	-482	3315
2254184	-12.83	nan	42.88		-26805	10575	10562
2254442	-145.71	4.40	-12.33		-86	3288	3850
2254697	-151.53	13.54	-44.40		-637	6378	6045
2254956	-143.72	7.45	-32.03		-1213	5398	4611
2255314	-141.42	-33.78	43.12		1274	-3879	5468
2255575	-133.92	-32.71	39.02		1540	-3646	5211
2255834	-130.85	-6.73	2.66		-172	1244	2830
2255988	-131.28	-6.02	1.74		-185	1409	2784
2256244	-133.76	-6.66	2.47		178	1419	3398
2256398	-133.45	-7.19	3.01		198	1292	3345
2256653	-119.79	-14.60	2.53		-611	198	3121
2256807	-119.54	-14.54	2.49		-582	225	3117
2257063	-116.78	-12.92	3.01		-375	206	3152
2257218	-111.71	-85.02	36.65		3683	-16861	-22542
2257481	-123.34	-10.25	-0.14		-597	804	2209
2257637	-123.74	-10.12	-0.40		1306	8987	-27927
2257898	131.59	-62.11	169.56		3937	-4000	13661
2258259	-164.93	-87.18	138.99		7217	-4384	9193
2258520	-93.16	-57.78	55.13		7213	-3183	5702
2258778	-107.81	-47.72	51.60		5645	-4756	4504
2259138	-98.48	-53.28	32.22		3420	-6374	4663
2259497	-62.47	-27.11	16.84		2952	-514	1256
2259653	-61.34	-26.58	16.82		2881	-301	1142
2259910	-24.11	-31.04	30.62		5508	3743	1999
2260167	-37.28	-13.79	15.98		3370	2482	847
2260323	-38.45	-12.94	14.81		11214	-19325	32086
2260685	-115.88	-40.80	-31.42		-7409	-12	4035
2260944	143.49	-52.35	19.07		-8689	2335	3920
2261102	-105.93	43.30	51.86		7223	-25883	-15539
2261363	-170.89	13.63	-24.92		559	5242	2716
2261520	-168.49	15.56	-26.37		673	5698	2848
2261777	-122.33	33.99	-8.22		2154	6563	2568
2262034	-106.07	3.84	9.29		2044	1894	999
2262187	-105.95	2.44	9.49		2044	1647	954
2262440	-99.52	-39.63	-2.52		-2137	-4950	2167
2262700	-122.82	-25.47	0.75		-3556	-3439	1354
2262959	-96.94	27.22	20.81		3886	5092	2445
2263215	-80.56	53.80	38.11		5322	7947	6212
2263471	-88.36	63.87	39.04		5480	8141	7182
2263626	-87.72	63.63	39.38		5482	8121	7155
