7.25	-39.69	-36.90		563	-5329	6293
1528753	-64.06	-25.13	-29.27		-734	-2616	3871
1529013	-66.31	-14.39	-26.91		-1194	-1752	3300
1529273	-65.71	-9.89	-23.11		-662	-1626	3408
1529531	-69.38	2.17	-8.88		184	1124	3182
1529683	-69.18	2.54	-8.45		257	1243	3206
1529936	-52.83	-7.47	-22.86		-392	-1072	3581
1530094	-52.47	-8.09	-23.03		25377	18422	-7262
1530354	-48.62	-0.33	-13.35		-428	601	2790
1530610	-50.80	-5.99	-14.33		152	-358	2906
1530865	-51.71	-5.16	-13.09		254	-113	2920
1531021	-51.67	-5.07	-13.11		250	-104	2921
1531276	-53.78	-2.46	-14.86		-226	131	2811
1531430	-53.80	-2.47	-14.86		-240	102	2806
1531686	-53.58	-3.20	-13.56		-49	57	2757
1531839	-53.53	-3.19	-13.51		-42	65	2758
1532093	-52.37	-1.15	-11.44		42	485	2720
1532246	-52.39	-1.11	-11.43		33	487	2720
1532498	-52.57	-3.20	-12.05		168	152	2709
1532753	-53.06	-4.47	-10.49		433	226	2699
1532907	-53.07	-4.50	-10.47		437	223	2698
1533162	-54.43	-4.45	-10.41		448	154	2749
1533316	-54.48	-4.40	-10.36		448	160	2754
1533571	-54.39	9.53	5.17		1078	2414	4333
1533723	-54.59	10.41	6.07		1127	2553	4378
1533978	-32.62	-32.10	-66.19		3499	-3952	13160
1534340	-13.11	-5.57	-96.86		-2349	-7831	8910
1534599	-8.88	-15.53	-80.96		-287	-7925	6862
1534755	-9.06	-15.62	-80.58		29748	-29507	26054
1535118	-14.72	-14.56	-59.76		-722	-6733	4367
1535377	-33.78	-17.40	-65.22		-3406	-5408	5304
1535638	-22.88	-36.05	-76.44		-1306	-9432	7166
1535898	-26.70	-40.35	-74.69		-1799	-9511	7211
1536158	-27.23	-34.65	-69.44		-1588	-9332	6608
