4	9.67	-13.60		601	-640	2980
445360	31.38	9.59	-14.21		683	-728	3004
445713	21.27	-0.65	-12.11		1755	68	3109
445864	20.91	-1.06	-11.24		1778	203	3083
446118	20.08	-1.29	-9.10		1464	472	3367
446270	11.07	7.27	-10.31		-26416	-13725	26765
446529	21.19	2.68	-0.47		337	1081	2463
446680	52.09	nan	52.06		10888	-9578	7110
446932	22.40	6.58	-7.84		518	181	3082
447082	22.37	6.21	-7.10		539	308	3027
447332	21.15	3.08	-0.62		572	1324	3428
447482	21.20	3.20	-0.95		573	1247	3431
447734	21.67	3.25	-1.16		450	1214	3220
447885	21.65	3.24	-1.13		449	1221	3219
448136	21.28	5.04	-5.15		470	475	3272
448285	21.28	5.08	-5.20		471	467	3277
448535	20.19	5.58	-5.57		413	478	3260
448685	20.19	5.58	-5.59		415	474	3258
448934	21.85	-2.78	3.46		1297	1504	4396
449187	12.43	-13.82	30.75		1965	5093	5101
449341	12.51	-13.99	31.74		1979	5241	5136
449596	-66.41	9.69	-131.93		-1784	448	21651
449753	-49.05	3.45	-129.91		327	384	20246
450007	150.77	-10.80	-19.04		-1922	1853	6065
450265	162.12	26.78	-48.01		3362	3819	5338
450420	162.87	27.45	-47.53		3348	3859	5339
450676	170.99	11.74	12.35		565	-2438	3755
450830	169.85	10.83	13.87		388	-2598	3809
451085	129.82	-26.61	66.53		-4129	-2542	10163
451344	51.77	-33.86	92.31		-5001	4161	11318
451501	-31.27	35.06	105.72		-7667	4552	-6672
451759	33.53	-24.54	77.52		-2560	5171	8602
452015	19.75	-15.93	60.93		-749	4933	6445
452169	18.96	-15.72	60.49		23165	-17364	-3072
452428	19.98	-11.79	43.32		-340	3538	4473
452682	23.48	-11.85	35.06		-69	2732	3794
452836	23.66	-11.83	34.78		-60	2697	3776
453190	30.67	-3.84	24.67		-253	1416	3213
453343	30.85	-3.16	24.42		-272	1401	3203
453597	48.60	40.26	11.73		-3814	-4843	5093
453853	42.81	48.29	4.98		-2828	-5433	5524
454006	-32.58	39.75	-30.35		25029	2532	-19848
454265	117.93	1.44	47.39		-2690	-2599	4074
454521	94.59	-26.59	72.24		-5718	1263	7122
