6.55	-13.53	14.90		-1290	-2273	3533
2418454	179.12	-38.07	11.93		-3088	-2312	4118
2418814	-124.50	-70.15	7.78		-2723	-5692	5346
2419074	169.02	-83.08	128.06		4482	-6404	9507
2419333	-174.45	-64.83	156.22		9507	-2005	12238
2419595	-143.48	-81.71	111.91		8013	-3753	8859
2419855	-81.35	-56.74	13.06		4434	-5423	4427
2420113	-121.44	-28.37	-17.71		-2341	-66	1888
2420373	-177.70	-37.08	-27.62		-3798	5540	2825
2420633	145.31	-38.31	-18.32		-2815	5129	2424
2420892	162.01	-25.80	-42.00		577	6354	2807
2421149	148.25	-29.27	-61.23		3150	7825	4990
2421307	179.56	34.06	-166.39		-7049	-10335	27378
2421570	137.87	-22.50	-39.00		3265	6388	3286
2421928	-163.21	3.25	10.01		1917	-562	577
2422083	-161.12	3.73	11.19		2094	-682	606
2422337	-114.06	1.24	38.79		6072	-1199	2260
2422494	-113.17	0.90	38.90		6129	-1200	2249
2422751	-129.87	-7.23	9.36		1527	-981	817
2422904	-41.91	nan	126.62		23774	12423	10331
2423162	-131.82	-9.06	0.07		308	-697	319
2423415	-145.66	-8.46	-4.34		-462	456	193
2423569	-146.68	-8.63	-4.52		-499	499	188
2423925	-141.92	-8.24	-0.83		-976	-141	119
2424080	-141.35	-7.92	-0.50		-892	-124	117
2424335	-112.48	-6.66	6.47		1998	-881	235
2424488	-112.50	-6.95	6.07		1905	-936	245
2424743	-138.93	-11.40	-4.79		-1594	-146	277
2424901	-128.57	14.18	-43.28		-4077	11324	8170
2425161	-132.26	-8.85	-4.17		-573	-140	-13
2425417	-152.13	-13.69	-9.78		-2258	1076	561
2425675	-159.51	-8.96	-0.75		-1129	153	191
2426032	-145.95	-2.56	-3.79		644	701	329
2426184	-146.99	-3.01	-4.29		514	770	349
2426438	162.65	-10.41	-8.57		-1468	2700	384
2426695	-145.57	10.21	-5.27		2161	2925	692
2426950	-124.89	4.90	6.66		1839	769	422
2427102	-124.59	4.65	7.07		1814	753	391
2427355	-110.86	-1.25	16.82		3257	-84	992
2427610	-113.36	-6.92	17.11		2112	-1712	639
2427765	-112.28	-6.65	16.81		29065	-29449	6431
2428025	-90.79	-4.20	17.99		2953	126	527
2428279	-74.52	-5.05	14.99		2965	534	247
2428432	-74.60	-5.07	14.62		2836	513	180
2428787	-77.90	-6.94	-0.56		521	-368	209
2428939	-77.88	-6.86	-0.61		521	-260	195
2429193	-102.02	-4.53	-3.62		582	296	133
2429497	-120.55	-12.72	-16.23		-2843	225	512
2429756	-118.85	-17.50	-21.25		-3766	35	1207
2430014	-132.50	-13.33	-14.75		-3769	268	568
2430171	-117.92	-29.50	-0.20		-20704	-26504	-28161
2430436	-128.03	51.47	-5.99		4657	7116	4344
2430693	132.97	78.17	-92.33		6898	6734	11694
2431052	118.19	56.54	-122.90		5236	6443	14686
2431311	125.16	49.49	-112.13		5859	5507	14221
2431571	132.02	41.64	-103.67		6036	5282	13222
2431831	152.61	42.71	-84.07		5087	5623	11173
2432190	174.63	40.91	-45.79		5504	4141	7549
2432347	174.79	40.37	-44.85		22696	-3502	19305
2432607	173.78	22.36	-25.51		3839	2153	5129
2432864	178.27	13.04	-17.98		2292	1483	4359
2433121	-158.50	7.60	-12.70		1558	1374	3699
2433378	-126.13	-18.41	-3.28		-335	-724	3859
2433534	-77.59	nan	55.51		24921	-7441	245
2433789	-79.57	-62.21	-10.37		1213	-5485	6660
2434049	-95.80	-16.00	-8.98		-748	-328	3253
2434306	-113.90	11.56	-7.21		1111	3035	3101
2434462	-114.43	11.74	-7.18		1143	3029	3130
2434719	-104.29	-10.32	-10.71		-416	247	3131
2434977	-78.95	-38.00	-23.34		-1001	-3849	5356
2435237	-101.28	-11.95	-13.29		-820	479	3782
2435495	-109.26	29.93	4.46		3266	4686	4563
2435650	-108.99	30.90	4.94		1807	32212	20168
2435909	-103.00	14.35	-1.26		1237	2670	3906
2436166	-88.08	-23.64	-12.90		-261	-1983	4354
2436425	-88.43	-24.33	-15.72		-619	-2112	5105
2436684	-113.41	8.90	-5.62		1148	2247	3410
2436839	17.08	nan	-45.61		12555	30518	16319
2437096	-119.85	20.83	-7.46		1871	2934	3956
2437353	-108.40	-4.95	-8.50		385	869	3012
2437507	-107.41	-6.50	-8.69		354	725	3111
2437762	-80.96	-37.86	-21.61		-572	-3821	5747
2438021	-99.75	-12.67	-9.47		-524	-104	3005
2438176	-154.17	-1.25	-140.91		-7253	957	25095
2438437	-88.29	-23.54	-8.52		445	-2044	3925
2438694	-86.41	-19.17	-14.24		-598	-1020	3227
2438953	-95.37	-18.51	-14.72		-962	-832	2932
2439212	-97.39	-17.02	-12.18		-632	-859	3128
2439470	-101.65	-9.53	-6.65		416	124	2663
2439623	-101.85	-9.53	-6.68		377	136	2653
2439878	-102.02	-13.53	-9.87		-81	-403	3084
2440034	-60.49	nan	47.57		20753	15820	1396
2440289	-104.85	-7.71	-7.49		402	516	2710
2440443	-163.66	-8.09	-158.83		3327	14074	715
2440702	-105.97	-7.91	-12.62		-252	581	2845
2440960	-106.21	-6.11	-10.42		2	651	2750
2441111	97.73	nan	25.87		-7460	2454	-21419
2441367	-103.80	-6.66	-7.63		820	590	3044
2441521	-145.69	0.67	-152.30		-19970	1829	9577
2441781	-104.77	-7.99	-9.40		227	547	2810
2442036	-102.97	-8.09	-6.59		567	194	2745
2442189	-148.84	-0.22	-152.05		-9690	-29966	-2317
2442454	-106.60	-2.92	-3.23		1100	358	3374
2442608	-107.04	-2.28	-2.91		1158	402	3404
2442864	-135.97	14.37	14.95		5540	2256	3153
2443121	130.72	-66.52	134.51		4036	3437	17996
2443381	20.81	80.20	64.12		-3756	6434	12375
2443537	11.58	75.99	55.10		15494	11478	13298
2443795	-5.31	-2.15	61.21		-308	5995	7145
2444050	-7.34	10.71	60.66		-836	5808	6842
2444204	-7.47	11.20	60.21		-844	5765	6806
2444459	-12.06	14.31	32.47		-1557	3185	4720
2444615	-11.98	14.08	31.82		15105	-29684	-15021
2444978	2.59	6.70	-9.45		-944	-1267	3609
2445130	3.16	6.65	-10.58		-873	-1372	3667
2445385	2.54	3.23	-83.72		832	-4499	10942
2445639	-25.26	7.73	-127.50		-1469	-3821	14876
2445900	-72.65	33.41	-121.04		-3773	-2612	14001
2446161	-148.71	53.72	-93.98		-2952	6899	9742
2446422	-143.73	50.85	-55.87		-77	5519	7302
2446679	-135.00	42.38	-28.54		1471	3997	5058
2446937	-128.90	35.13	-17.86		1536	2876	4165
2447195	-125.71	30.84	-12.88		1520	2221	3728
2447453	-113.30	24.48	-9.11		908	1419	3248
2447608	-112.87	24.21	-8.93		892	1381	3237
2447864	-86.37	21.00	-9.81		-170	1928	3282
2448019	-84.96	21.20	-10.31		-225	1941	3297
2448276	-11.64	45.87	-77.40		-2387	-7070	7211
