64	-53.09	66.76		-1745	8995	7905
824563	85.82	-30.36	51.05		-5183	5180	6162
824718	86.07	-30.26	50.61		-5123	5231	6132
824974	99.11	-17.41	33.25		-3895	2630	3509
825331	102.69	-24.13	19.29		-2396	4292	3809
825487	102.73	-24.11	19.02		20036	-24204	-18446
825849	104.96	-12.45	14.16		-1322	2623	3461
826006	104.99	-12.36	14.09		-1317	2609	3463
826263	102.31	-15.09	8.72		-785	3152	3416
826518	105.35	-7.98	8.41		-308	2146	3309
826671	105.44	-7.68	8.51		-324	2097	3297
826924	109.43	-1.54	9.37		-276	1249	3217
827177	109.92	1.52	9.04		-86	896	3089
827327	109.88	1.60	9.07		-91	882	3090
827577	108.64	4.44	10.17		-140	425	3115
827728	108.59	4.46	10.16		-140	420	3110
827981	107.85	1.31	6.32		398	653	3841
828131	107.54	1.06	6.22		519	720	3951
828381	66.35	-31.15	28.91		6794	8290	4589
828636	-77.67	50.27	-78.69		-12299	3250	12038
828896	-59.14	-2.06	19.62		2001	-1671	6819
829050	-59.59	-1.51	23.82		2464	-1440	6869
829306	-38.75	35.95	77.57		4287	6505	6536
829460	-39.66	36.21	75.74		3725	14876	-21490
829718	-55.03	-6.07	4.32		1017	-1217	3129
829973	-34.21	-32.30	-48.30		-945	-6732	8793
830332	-9.24	-15.26	-83.41		571	-7029	11486
830488	-9.80	-13.99	-82.54		543	-6999	11380
830745	-19.65	37.75	-20.82		-3882	-1241	5839
831003	-25.52	34.68	9.28		-2092	2342	3979
831157	-26.15	34.40	9.64		29977	5302	23652
831413	-41.67	33.41	13.48		-878	2243	3878
831567	-58.69	-71.26	45.25		7291	-5240	2018
831824	-58.72	20.96	3.21		-347	683	3101
831976	-59.13	20.59	2.86		29329	-31328	-8505
832234	-73.30	8.06	-2.95		-332	-1071	3109
832488	-76.63	6.06	-4.13		-503	-1174	3195
832642	-76.71	6.03	-4.17		-511	-1175	3202
832897	-79.32	7.81	-3.61		-484	-883	3244
833049	-79.38	7.88	-3.56		-473	-859	3242
833303	-80.51	8.65	-2.81		-441	-732	3238
833556	-80.47	8.75	-1.82		-299	-718	3214
833709	-80.47	8.74	-1.77		-284	-720	3213
833963	-80.93	8.62	-0.53		-98	-685	3241
834214	-80.46	9.08	-0.81		-144	-626	3218
834367	-80.44	9.09	-0.81		-138	-632	3222
834620	-80.62	8.77	-0.15		-67	-716	3324
834771	12.57	-56.77	62.78		3465	17439	1694
835027	-80.40	10.24	-0.33		-120	-402	3216
835282	-79.91	8.60	0.12		-29	-680	3272
835433	-79.86	8.57	0.15		-22	-683	3272
835684	-71.72	5.92	4.01		336	-703	3421
835834	-71.18	5.58	4.38		405	-717	3407
836085	-41.12	-11.79	26.78		4341	64	4382
