4.10	-74.29	-92.23		1400	9440	11412
2579265	-83.17	-83.09	174.78		1212	9530	13391
2579525	14.86	-77.39	78.09		361	8210	11269
2579680	15.35	-77.19	77.94		386	8190	11214
2579936	0.74	-71.40	106.81		-1362	7532	12919
2580195	66.32	-78.15	54.25		-2636	7025	10136
2580553	119.23	-19.32	31.54		-3574	1508	5462
2580913	146.63	-7.65	53.30		-3718	-2272	6682
2581069	70.91	nan	122.29		10479	-12333	27778
2581328	151.34	-40.13	51.12		-6339	-1873	6246
2581587	167.66	-33.09	48.88		-3664	-2949	5707
2581847	-177.09	-36.93	18.30		-4571	-400	5159
2582106	-156.85	-25.80	-9.21		-4295	1599	4035
2582366	-162.84	-15.94	7.86		-2224	191	3516
2582623	-167.75	-12.57	17.81		-1053	-984	3780
2582882	-173.39	-12.76	-1.19		-1965	1950	2801
2583141	-173.81	-7.22	18.21		-576	-907	3418
2583398	-169.36	-6.91	15.11		-493	-278	3142
2583554	-169.34	-6.95	14.80		-509	-246	3132
2583811	-171.11	-7.36	16.99		-590	-373	3063
2584068	-170.22	-6.78	16.53		-507	-286	2959
2584223	-170.14	-6.74	16.55		31951	28795	12140
2584484	-170.39	-9.68	17.49		-823	-131	3175
2584740	167.76	-12.74	-4.94		-1343	3913	3096
2584999	169.88	-17.08	-12.51		-1101	3542	4929
2585259	170.74	-18.40	-7.15		-1255	1859	4055
2585517	166.02	-19.88	-7.49		-1046	2855	3920
2585775	158.62	-23.20	-4.45		-1169	2647	3904
2586033	153.87	-21.21	-3.91		-740	2568	3769
2586189	153.78	-21.04	-3.81		-713	2540	3762
2586446	152.17	-14.81	1.54		-170	1448	3469
2586702	150.11	-13.34	1.30		-36	1289	3464
2586856	150.07	-13.28	1.18		-22	1293	3468
2587212	152.26	-14.53	-2.54		284	1610	3508
2587367	152.25	-14.68	-2.48		286	1611	3510
2587623	135.04	-23.71	13.63		-2088	1089	3474
2587881	164.21	-15.63	30.42		-1148	-2311	3687
2588141	-165.22	-15.93	51.55		2343	-3534	4924
2588400	-164.61	-28.74	21.02		-2091	-1975	3489
2588660	-162.11	-28.82	-13.45		-2864	2647	3338
2588920	176.85	-38.58	5.42		-4177	945	3439
2589076	178.15	6.97	-0.01		18977	19737	2313
2589333	-148.44	-24.61	14.21		-978	-994	2314
2589591	-136.97	-26.69	33.79		252	-4034	2617
2589849	-104.20	-17.45	60.97		5528	-1016	5317
2590108	-61.96	-11.74	95.84		6801	5540	9800
2590366	-34.86	-13.96	110.71		3595	8649	11726
2590625	-31.31	-23.74	96.28		3495	9024	9977
2590781	-31.43	-24.16	95.29		3554	8967	9853
2591039	-14.26	-22.96	60.88		3045	8253	5111
2591296	-23.69	-13.16	46.63		2868	5974	3209
2591452	44.66	nan	76.01		28359	19762	-19484
2591709	-26.73	-5.10	34.99		2091	5542	1778
2591964	-29.79	-4.59	22.85		1675	3961	1407
2592119	-30.01	-4.59	22.37		1660	3935	1385
2592375	-38.32	-2.68	7.50		517	2482	731
2592527	-38.65	-2.64	7.17		432	2451	719
2592779	-58.71	-1.00	-0.58		-932	1223	545
2593034	-51.60	0.44	-0.51		-505	1453	679
2593186	-51.45	0.53	-0.61		-565	1516	672
2593541	-79.54	-4.75	-14.01		-2632	475	1065
2593696	-80.06	-4.87	-14.27		-2705	462	1056
2593953	-95.81	-10.50	-20.27		-2546	524	778
2594210	-134.93	-25.62	-32.96		-6211	2357	2297
2594471	-178.40	-37.75	-26.99		-4771	4662	2634
2594732	138.59	-42.99	-15.89		-3254	5412	3254
2594991	156.87	-44.30	-33.41		-1940	7450	3498
2595250	172.59	-46.76	-37.31		-4538	7323	4727
2595510	170.39	-38.81	-18.77		-4633	4748	2449
2595769	157.03	-30.00	-1.90		-4344	3436	1943
2596027	149.46	-11.26	7.56		-2170	515	586
2596180	150.14	-10.79	7.33		-1988	397	532
2596435	159.14	-8.56	0.47		-1508	1843	609
2596589	159.43	-8.65	0.39		-1510	1870	590
2596844	130.52	-22.39	5.06		-3212	3607	1764
2597001	129.76	-22.81	5.24		-3237	3673	1790
2597258	99.79	-38.07	19.45		-3582	6127	3388
2597515	77.37	-42.83	47.02		-5149	6878	6307
2597670	36.95	nan	31.99		27546	-760	-17270
2597926	52.33	-22.97	94.27		-7162	6871	11320
2598184	68.37	-1.42	103.21		-7435	5020	12426
2598443	79.77	16.34	114.14		-7216	4863	13799
2598702	75.35	-11.31	126.97		-6589	3091	15978
2598961	57.22	-38.91	136.59		-6063	1703	15642
2599220	75.62	-16.72	106.44		-7738	3079	14058
2599480	91.12	29.15	70.80		-7201	1330	7846
2599634	90.85	29.92	70.04		-7149	1312	7730
2599890	81.12	-4.41	66.73		-7456	3587	6827
2600045	80.76	-5.59	66.60		-7105	8983	-10483
2600304	103.44	-3.50	43.13		-5195	1791	5468
2600561	100.89	7.38	39.79		-5213	74	5052
2600714	100.74	6.90	39.50		-5228	135	5021
2600969	102.18	-2.24	24.02		-3151	1729	3335
2601124	142.62	-1.48	140.99		-23324	11236	-12232
2601388	106.54	5.20	16.46		-1860	426	2993
2601541	106.48	5.33	16.31		-1826	376	2974
2601796	105.85	10.95	12.73		-1350	300	3012
2601951	105.83	11.09	12.74		-1348	267	3009
2602207	105.86	13.87	13.32		-1290	282	2637
2602362	106.04	13.91	13.52		26049	-7732	-25078
2602622	99.68	1.00	8.53		-1252	2352	1274
2602876	-2.37	80.10	-126.97		-2759	6085	15672
2603136	-84.42	-18.79	-7.32		1008	1756	5326
2603393	-109.64	68.10	-49.36		-5820	6738	8160
2603653	-134.01	25.00	-93.53		-7141	3430	9866
2604012	-134.84	-25.53	-92.48		-6638	4079	10953
2604274	-148.65	-33.13	-66.62		-6062	3678	8449
2604534	-159.01	-28.24	-46.51		-4819	2981	6061
2604795	-172.11	-21.84	-27.61		-3628	2531	5289
2605056	172.30	-24.63	-6.73		-3921	345	4541
2605313	163.47	-13.15	-5.91		-2030	996	4532
2605570	142.54	7.20	-7.80		327	-950	3565
2605722	142.05	7.48	-8.33		331	-907	3628
2605976	135.73	16.46	-19.00		2383	725	3713
2606232	143.25	16.71	-6.09		782	-2481	3890
2606488	100.46	-1.78	-17.28		1630	1913	3479
2606644	99.47	-2.45	-17.36		1826	1915	3305
2606902	81.07	-2.35	-14.62		1325	800	3199
