	30.26	-57.30	areal	-2120	-7464	3810
16:52:57.566 -> euler	-0.83	30.18	-57.45	areal	-2171	-7487	3836
16:52:57.566 -> euler	-0.62	30.12	-57.60	areal	-2218	-7517	3860
16:52:57.566 -> euler	-0.47	30.06	-57.78	areal	-2253	-7537	3891
16:52:57.566 -> euler	-0.36	30.02	-57.97	areal	-2269	-7547	3925
16:52:57.607 -> euler	-0.26	29.98	-58.17	areal	-2275	-7552	3957
16:52:57.607 -> euler	-0.17	29.96	-58.38	areal	-2268	-7569	3986
16:52:57.607 -> euler	-0.05	29.94	-58.61	areal	-2257	-7586	4009
16:52:57.607 -> euler	0.08	29.92	-58.84	areal	-2254	-7597	4029
16:52:57.646 -> euler	0.21	29.91	-59.08	areal	-2257	-7599	4048
16:52:57.646 -> euler	0.32	29.92	-59.33	areal	-2262	-7600	4061
16:52:57.646 -> euler	0.42	29.94	-59.57	areal	-2264	-7598	4077
16:52:57.646 -> euler	0.49	29.97	-59.83	areal	-2259	-7592	4099
16:52:57.687 -> euler	0.52	30.01	-60.08	areal	-2244	-7588	4125
16:52:57.687 -> euler	0.51	30.05	-60.33	areal	-2214	-7588	4154
16:52:57.687 -> euler	0.46	30.10	-60.58	areal	-2168	-7588	4185
16:52:57.687 -> euler	0.37	30.15	-60.84	areal	-2116	-7575	4214
16:52:57.724 -> euler	0.27	30.20	-61.08	areal	-2068	-7575	4242
16:52:57.724 -> euler	0.15	30.25	-61.32	areal	-2027	-7593	4270
16:52:57.724 -> euler	0.04	30.28	-61.57	areal	-2000	-7609	4300
16:52:57.724 -> euler	-0.06	30.32	-61.80	areal	-1997	-7610	4331
16:52:57.767 -> euler	-0.16	30.34	-62.05	areal	-2017	-7600	4364
16:52:57.767 -> euler	-0.25	30.37	-62.27	areal	-2047	-7597	4395
16:52:57.767 -> euler	-0.31	30.39	-62.50	areal	-2082	-7598	4423
16:52:57.767 -> euler	-0.32	30.42	-62.71	areal	-2112	-7598	4451
16:52:57.806 -> euler	-0.26	30.46	-62.92	areal	-2131	-7596	4474
16:52:57.806 -> euler	-0.15	30.49	-63.12	areal	-2132	-7599	4494
16:52:57.806 -> euler	0.01	30.53	-63.32	areal	-2111	-7609	4511
16:52:57.806 -> euler	0.20	30.57	-63.52	areal	-2073	-7619	4529
16:52:57.854 -> euler	0.38	30.60	-63.70	areal	-2037	-7629	4545
16:52:57.854 -> euler	0.52	30.63	-63.89	areal	-2011	-7644	4561
16:52:57.854 -> euler	0.62	30.67	-64.07	areal	-1998	-7667	4574
16:52:57.854 -> euler	0.68	30.70	-64.26	areal	-1991	-7696	4587
16:52:57.886 -> euler	0.70	30.74	-64.45	areal	-1986	-7724	4600
16:52:57.886 -> euler	0.71	30.78	-64.64	areal	-1978	-7749	4615
16:52:57.886 -> euler	0.72	30.83	-64.83	areal	-1962	-7769	4630
16:52:57.886 -> euler	0.75	30.87	-65.01	areal	-1936	-7786	4646
16:52:57.926 -> euler	0.80	30.91	-65.20	areal	-1897	-7809	4658
16:52:57.926 -> euler	0.86	30.95	-65.40	areal	-1845	-7833	4668
16:52:57.926 -> euler	0.95	30.98	-65.58	areal	-1785	-7861	4672
16:52:57.926 -> euler	1.04	31.01	-65.78	areal	-1720	-7890	4683
16:52:57.968 -> euler	1.14	31.02	-65.97	areal	-1660	-7915	4695
16:52:57.968 -> euler	1.25	31.03	-66.16	areal	-1604	-7933	4713
16:52:57.968 -> euler	1.37	31.01	-66.36	areal	-1552	-7947	4731
16:52:57.968 -> euler	1.49	30.99	-66.56	areal	-1505	-7958	4750
16:52:58.009 -> euler	1.61	30.95	-66.76	areal	-1465	-7983	4771
16:52:58.009 -> euler	1.73	30.89	-66.96	areal	-1430	-8011	4794
16:52:58.009 -> euler	1.84	30.83	-67.17	areal	-1405	-8038	4821
16:52:58.009 -> euler	1.93	30.76	-67.39	areal	-1388	-8061	4847
16:52:58.048 -> euler	2.03	30.67	-67.61	areal	-1379	-8081	4875
16:52:58.048 -> euler	2.13	30.59	-67.84	areal	-1376	-8098	4906
16:52:58.048 -> euler	2.25	30.49	-68.08	areal	-1376	-8111	4940
16:52:58.048 -> euler	2.39	30.40	-68.31	areal	-1373	-8122	4975
16:52:58.088 -> euler	2.55	30.30	-68.55	areal	-1366	-8135	5012
16:52:58.088 -> euler	2.70	30.21	-68.80	areal	-1357	-8158	5051
16:52:58.088 -> euler	2.84	30.11	-69.05	areal	-1340	-8189	5089
16:52:58.088 -> euler	2.95	30.03	-69.31	areal	-1317	-8228	5130
16:52:58.127 -> euler	3.05	29.95	-69.58	areal	-1290	-8259	5172
16:52:58.127 -> euler	3.16	29.88	-69.86	areal	-1259	-8276	5211
16:52:58.127 -> euler	3.25	29.81	-70.16	areal	-1229	-8283	5247
16:52:58.127 -> euler	3.33	29.73	-70.46	areal	-1199	-8277	5280
16:52:58.164 -> euler	3.39	29.68	-70.77	areal	-1172	-8266	5314
16:52:58.164 -> euler	3.42	29.62	-71.09	areal	-1150	-8252	5347
16:52:58.164 -> euler	3.41	29.57	-71.41	areal	-1126	-8244	5385
16:52:58.164 -> euler	3.35	29.53	-71.74	areal	-1111	-8243	5424
16:52:58.214 -> euler	3.26	29.50	-72.06	areal	-1101	-8245	5464
16:52:58.214 -> euler	3.12	29.47	-72.40	areal	-1095	-8250	5507
16:52:58.214 -> euler	2.96	29.45	-72.74	areal	-1095	-8258	5552
16:52:58.214 -> euler	2.76	29.45	-73.08	areal	-1100	-8267	5596
16:52:58.249 -> euler	2.53	29.45	-73.42	areal	-1111	-8277	5641
16:52:58.249 -> euler	2.25	29.47	-73.76	areal	-1129	-8288	5690
16:52:58.249 -> euler	1.90	29.50	-74.11	areal	-1158	-8296	5738
16:52:58.249 -> euler	1.51	29.55	-74.44	areal	-1195	-8303	5782
16:52:58.296 -> euler	1.07	29.61	-74.76	areal	-1236	-8301	5825
16:52:58.296 -> euler	0.65	29.70	-75.08	areal	-1274	-8291	5864
16:52:58.296 -> euler	0.25	29.79	-75.39	areal	-1302	-8270	5900
16:52:58.296 -> euler	-0.08	29.91	-75.66	areal	-1318	-8249	5933
16:52:58.296 -> euler	-0.34	30.02	-75.94	areal	-1311	-8240	5970
16:52:58.344 -> euler	-0.50	30.16	-76.17	areal	-1283	-8252	6002
16:52:58.344 -> euler	-0.58	30.29	-76.39	areal	-1240	-8276	6038
16:52:58.344 -> euler	-0.60	30.42	-76.61	areal	-1187	-8313	6076
16:52:58.344 -> euler	-0.56	30.56	-76.80	areal	-1127	-8359	6114
16:52:58.385 -> euler	-0.52	30.69	-77.00	areal	-1065	-8406	6151
16:52:58.385 -> euler	-0.47	30.81	-77.20	areal	-1009	-8452	6187
16:52:58.385 -> euler	-0.42	30.93	-77.40	areal	-959	-8488	6226
16:52:58.385 -> euler	-0.39	31.04	-77.60	areal	-920	-8512	6266
16:52:58.429 -> euler	-0.39	31.14	-77.81	areal	-895	-8523	6308
16:52:58.429 -> euler	-0.42	31.23	-78.02	areal	-882	-8526	6349
16:52:58.429 -> euler	-0.50	31.33	-78.24	areal	-882	-8524	6389
16:52:58.429 -> euler	-0.63	31.42	-78.46	areal	-895	-8515	6430
16:52:58.429 -> euler	-0.79	31.51	-78.69	areal	-915	-8500	6469
16:52:58.482 -> euler	-0.99	31.60	-78.92	areal	-945	-8475	6507
16:52:58.482 -> euler	-1.21	31.69	-79.14	areal	-983	-8441	6545
16:52:58.482 -> euler	-1.43	31.78	-79.36	areal	-1020	-8408	6583
16:52:58.482 -> euler	-1.63	31.89	-79.59	areal	-1050	-8382	6623
16:52:58.482 -> euler	-1.82	32.00	-79.80	areal	-1076	-8359	6665
16:52:58.482 -> euler	-2.01	32.11	-80.00	areal	-1102	-8334	6705
16:52:58.526 -> euler	-2.20	32.23	-80.19	areal	-1139	-8304	6740
16:52:58.526 -> euler	-2.38	32.36	-80.38	areal	-1180	-8273	6773
16:52:58.526 -> euler	-2.53	32.50	-80.55	areal	-1219	-8242	6801
16:52:58.526 -> euler	-2.64	32.65	-80.70	areal	-1248	-8214	6828
16:52:58.563 -> euler	-2.70	32.81	-80.84	areal	-1262	-8192	6852
16:52:58.563 -> euler	-2.74	32.98	-80.97	areal	-1260	-8180	6876
