	0.03	-0.00	areal	0	0	-4
16:15:08.403 -> euler	8.87	0.03	-0.00	areal	0	1	-3
16:15:08.403 -> euler	8.87	0.03	-0.00	areal	0	0	-3
16:15:08.403 -> euler	8.87	0.03	-0.00	areal	0	0	-3
16:15:08.403 -> euler	8.87	0.03	-0.00	areal	0	0	-2
16:15:08.441 -> euler	8.87	0.03	-0.00	areal	0	0	-2
16:15:08.441 -> euler	8.87	0.03	-0.00	areal	-1	0	-3
16:15:08.441 -> euler	8.87	0.03	-0.00	areal	0	0	-2
16:15:08.441 -> euler	8.87	0.03	-0.00	areal	0	0	-1
16:15:08.479 -> euler	8.87	0.03	-0.00	areal	0	0	0
16:15:08.479 -> euler	8.87	0.03	-0.00	areal	0	-1	0
16:15:08.479 -> euler	8.87	0.03	-0.00	areal	0	0	0
16:15:08.479 -> euler	8.87	0.03	-0.00	areal	0	0	-1
16:15:08.522 -> euler	8.87	0.03	-0.00	areal	1	0	-1
16:15:08.522 -> euler	8.87	0.03	-0.00	areal	1	0	-3
16:15:08.522 -> euler	8.87	0.03	-0.00	areal	1	0	-3
16:15:08.522 -> euler	8.87	0.03	-0.00	areal	1	0	-3
16:15:08.563 -> euler	8.87	0.03	-0.00	areal	1	-1	-2
16:15:08.563 -> euler	8.87	0.03	-0.00	areal	0	0	-1
16:15:08.563 -> euler	8.87	0.03	-0.00	areal	0	0	0
16:15:08.563 -> euler	8.87	0.03	-0.00	areal	-1	0	-2
16:15:08.602 -> euler	8.87	0.03	-0.00	areal	-1	0	-2
16:15:08.602 -> euler	8.87	0.03	-0.00	areal	-1	0	-4
16:15:08.602 -> euler	8.87	0.03	-0.00	areal	-1	0	-4
16:15:08.602 -> euler	8.87	0.03	-0.00	areal	-2	0	-4
16:15:08.642 -> euler	8.87	0.03	-0.00	areal	-1	1	-3
16:15:08.642 -> euler	8.87	0.03	-0.00	areal	-2	2	-2
16:15:08.642 -> euler	8.87	0.03	-0.00	areal	-7	-5	-3
16:15:08.642 -> euler	8.88	0.03	-0.00	areal	0	5	-2
16:15:08.682 -> euler	8.87	0.03	-0.00	areal	4	9	-3
16:15:08.682 -> euler	8.87	0.03	-0.00	areal	-3	-2	-3
16:15:08.682 -> euler	8.87	0.03	-0.00	areal	-5	-3	-2
16:15:08.682 -> euler	8.87	0.03	-0.00	areal	-1	0	-2
16:15:08.721 -> euler	8.87	0.03	-0.00	areal	-3	-4	-1
16:15:08.721 -> euler	8.88	0.03	-0.00	areal	-4	-7	-2
16:15:08.721 -> euler	8.89	0.03	-0.00	areal	0	-2	-4
16:15:08.721 -> euler	8.89	0.03	-0.00	areal	0	2	-5
16:15:08.765 -> euler	8.89	0.03	-0.00	areal	0	4	-3
16:15:08.765 -> euler	8.88	0.03	-0.00	areal	0	2	-3
16:15:08.765 -> euler	8.88	0.03	-0.00	areal	1	2	-3
16:15:08.765 -> euler	8.88	0.03	-0.00	areal	0	1	-4
16:15:08.804 -> euler	8.88	0.03	-0.00	areal	-1	-1	-3
16:15:08.804 -> euler	8.88	0.03	-0.00	areal	-1	-1	-3
16:15:08.804 -> euler	8.88	0.03	-0.00	areal	-2	-6	-4
16:15:08.804 -> euler	8.89	0.03	-0.00	areal	-1	-6	-3
16:15:08.845 -> euler	8.89	0.03	-0.00	areal	-6	-11	-3
16:15:08.845 -> euler	8.89	0.03	-0.00	areal	-9	-25	-3
16:15:08.845 -> euler	8.89	0.03	-0.01	areal	-8	-28	-3
16:15:08.845 -> euler	8.90	0.03	-0.01	areal	1	-27	-4
16:15:08.883 -> euler	8.90	0.04	-0.02	areal	10	-13	-4
16:15:08.883 -> euler	8.90	0.04	-0.03	areal	9	4	-4
16:15:08.883 -> euler	8.90	0.04	-0.04	areal	4	18	-4
16:15:08.883 -> euler	8.89	0.04	-0.05	areal	-4	25	-2
16:15:08.923 -> euler	8.89	0.04	-0.05	areal	-3	17	-2
16:15:08.923 -> euler	8.89	0.04	-0.05	areal	0	10	-1
16:15:08.923 -> euler	8.89	0.04	-0.05	areal	-2	13	-1
16:15:08.923 -> euler	8.89	0.04	-0.05	areal	-3	14	0
16:15:08.962 -> euler	8.89	0.04	-0.04	areal	2	5	-1
16:15:08.962 -> euler	8.89	0.04	-0.03	areal	2	-6	-1
16:15:08.962 -> euler	8.89	0.04	-0.03	areal	-2	-9	-1
16:15:08.962 -> euler	8.89	0.04	-0.03	areal	-3	-6	0
16:15:09.002 -> euler	8.89	0.04	-0.03	areal	0	-1	-1
16:15:09.002 -> euler	8.89	0.04	-0.03	areal	0	0	-2
16:15:09.002 -> euler	8.89	0.04	-0.03	areal	-2	-7	-1
16:15:09.002 -> euler	8.89	0.04	-0.03	areal	-2	-9	-1
16:15:09.041 -> euler	8.89	0.04	-0.03	areal	-1	-8	-3
16:15:09.041 -> euler	8.89	0.04	-0.03	areal	-2	-6	-3
16:15:09.041 -> euler	8.89	0.04	-0.03	areal	-2	-6	-4
16:15:09.041 -> euler	8.89	0.04	-0.03	areal	0	-3	-6
16:15:09.080 -> euler	8.89	0.04	-0.03	areal	1	-3	-6
16:15:09.080 -> euler	8.89	0.04	-0.03	areal	1	-4	-5
16:15:09.080 -> euler	8.89	0.04	-0.03	areal	5	1	-6
16:15:09.080 -> euler	8.88	0.04	-0.03	areal	7	4	-6
16:15:09.115 -> euler	8.87	0.04	-0.03	areal	8	3	-5
16:15:09.115 -> euler	8.87	0.04	-0.03	areal	3	1	-3
16:15:09.115 -> euler	8.86	0.03	-0.03	areal	-1	0	-5
16:15:09.151 -> euler	8.86	0.03	-0.03	areal	-7	-7	-4
16:15:09.151 -> euler	8.86	0.03	-0.03	areal	-7	-10	-4
16:15:09.151 -> euler	8.86	0.03	-0.02	areal	-5	-7	-3
16:15:09.151 -> euler	8.86	0.03	-0.02	areal	-2	-2	-3
16:15:09.193 -> euler	8.87	0.03	-0.02	areal	-3	-5	-2
16:15:09.193 -> euler	8.87	0.03	-0.02	areal	-1	-4	-1
16:15:09.193 -> euler	8.88	0.03	-0.02	areal	-2	0	-2
16:15:09.193 -> euler	8.87	0.03	-0.02	areal	0	-1	-1
16:15:09.233 -> euler	8.87	0.03	-0.02	areal	-6	-2	-1
16:15:09.233 -> euler	8.86	0.03	-0.03	areal	17	5	-1
16:15:09.233 -> euler	8.86	0.03	-0.03	areal	16	6	-4
16:15:09.233 -> euler	8.84	0.03	-0.02	areal	15	-1	-1
16:15:09.276 -> euler	8.84	0.03	-0.02	areal	0	-5	0
16:15:09.276 -> euler	8.84	0.02	-0.02	areal	-13	-7	0
16:15:09.276 -> euler	8.84	0.02	-0.02	areal	-10	-10	1
16:15:09.276 -> euler	8.84	0.02	-0.02	areal	-3	-7	-1
16:15:09.314 -> euler	8.85	0.02	-0.02	areal	2	-2	0
16:15:09.314 -> euler	8.84	0.02	-0.02	areal	0	-1	0
16:15:09.314 -> euler	8.84	0.02	-0.02	areal	0	-2	0
16:15:09.314 -> euler	8.83	0.02	-0.02	areal	0	-5	-2
16:15:09.354 -> euler	8.83	0.02	-0.02	areal	-1	-5	-3
16:15:09.354 -> euler	8.83	0.02	-0.02	areal	-1	-5	-3
16:15:09.354 -> euler	8.84	0.02	-0.02	areal	-1	-4	-3
16:15:09.354 -> euler	8.84	0.02	-0.02	areal	0	-2	-4
16:15:09.389 -> euler	8.84	0.02	-0.01	areal	2	-4	-6
16:15:09.389 -> euler	8.84	0.02	-0.01	areal	0	-4	-4
16:15:09.389 -> euler	8.84	0.02	-0.01	areal	0	-3	-3
16:15:09.389 -> euler	8.84	0.02	-0.01	areal	1	-4	-1
16:15:09.430 -> euler	8.84	0.02	-0.01	areal	1	0	-2
16:15:09.430 -> euler	8.84	0.02	-0.01	areal	2	0	-1
16:15:09.430 -> euler	8.84	0.02	-0.01	areal	3	0	-2
16:15:09.430 -> euler	8.84	0.02	-0.01	areal	0	0	-2
16:15:09.473 -> euler	8.84	0.02	-0.01	areal	-1	0	-2
16:15:09.473 -> euler	8.83	0.02	-0.01	areal	-2	1	-1
16:15:09.473 -> euler	8.84	0.02	-0.01	areal	-3	4	0
16:15:09.473 -> euler	8.84	0.02	-0.01	areal	-5	6	0
16:15:09.521 -> euler	8.84	0.02	-0.01	areal	-6	4	0
16:15:09.521 -> euler	8.84	0.02	-0.01	areal	-3	2	0
16:15:09.521 -> euler	8.85	0.03	-0.00	areal	0	0	0
16:15:09.521 -> euler	8.86	0.03	-0.00	areal	3	-2	-1
16:15:09.521 -> euler	8.86	0.03	-0.00	areal	4	-5	0
16:15:09.563 -> euler	8.86	0.03	-0.00	areal	5	-3	0
16:15:09.563 -> euler	8.86	0.03	-0.00	areal	5	0	0
16:15:09.563 -> euler	8.86	0.03	-0.00	areal	2	0	-2
16:15:09.563 -> euler	8.86	0.03	-0.00	areal	-1	1	-1
16:15:09.606 -> euler	8.86	0.03	0.00	areal	0	-1	-1
16:15:09.606 -> euler	8.86	0.03	0.00	areal	5	-9	-2
16:15:09.606 -> euler	8.86	0.03	0.00	areal	6	-10	-1
16:15:09.606 -> euler	8.86	0.03	0.00	areal	4	-4	-2
16:15:09.641 -> euler	8.87	0.03	0.01	areal	4	-4	-5
