	0.02	-0.00	areal	0	0	-4
16:29:12.207 -> euler	15.39	0.02	-0.00	areal	0	0	-3
16:29:12.207 -> euler	15.39	0.02	-0.00	areal	0	0	-4
16:29:12.207 -> euler	15.39	0.02	-0.00	areal	0	0	-4
16:29:12.207 -> euler	15.39	0.02	-0.00	areal	0	0	-4
16:29:12.247 -> euler	15.39	0.02	-0.00	areal	0	0	-4
16:29:12.247 -> euler	15.39	0.02	-0.00	areal	0	0	-4
16:29:12.247 -> euler	15.39	0.02	-0.00	areal	0	0	-6
16:29:12.247 -> euler	15.39	0.02	-0.00	areal	0	0	-6
16:29:12.288 -> euler	15.39	0.02	-0.00	areal	-1	0	-6
16:29:12.288 -> euler	15.39	0.02	-0.00	areal	0	-1	-7
16:29:12.288 -> euler	15.39	0.02	-0.00	areal	0	-1	-6
16:29:12.288 -> euler	15.39	0.02	-0.00	areal	0	0	-5
16:29:12.326 -> euler	15.39	0.02	-0.00	areal	0	0	-5
16:29:12.326 -> euler	15.39	0.02	-0.00	areal	0	0	-3
16:29:12.326 -> euler	15.39	0.02	-0.00	areal	0	-1	-3
16:29:12.326 -> euler	15.39	0.02	-0.00	areal	0	-1	-4
16:29:12.368 -> euler	15.39	0.02	0.00	areal	0	0	-4
16:29:12.368 -> euler	15.39	0.02	-0.00	areal	0	0	-4
16:29:12.368 -> euler	15.39	0.02	-0.00	areal	0	0	-5
16:29:12.368 -> euler	15.39	0.02	-0.00	areal	0	0	-3
16:29:12.407 -> euler	15.39	0.02	-0.00	areal	0	0	-4
16:29:12.407 -> euler	15.39	0.02	0.00	areal	0	0	-4
16:29:12.407 -> euler	15.39	0.02	0.00	areal	0	0	-4
16:29:12.407 -> euler	15.39	0.02	0.00	areal	-1	0	-4
16:29:12.443 -> euler	15.39	0.02	0.00	areal	-1	0	-5
16:29:12.443 -> euler	15.39	0.02	0.00	areal	0	0	-6
16:29:12.443 -> euler	15.39	0.02	0.00	areal	0	0	-6
16:29:12.443 -> euler	15.39	0.02	0.00	areal	0	0	-6
16:29:12.479 -> euler	15.39	0.02	0.00	areal	-1	0	-4
16:29:12.479 -> euler	15.39	0.02	0.00	areal	-1	0	-3
16:29:12.479 -> euler	15.39	0.02	0.00	areal	-1	0	-4
16:29:12.518 -> euler	15.39	0.02	0.00	areal	0	0	-4
16:29:12.518 -> euler	15.39	0.02	0.00	areal	-1	0	-3
16:29:12.518 -> euler	15.39	0.02	0.00	areal	0	0	-4
16:29:12.518 -> euler	15.39	0.02	0.00	areal	0	1	-3
16:29:12.554 -> euler	15.39	0.02	0.00	areal	0	1	-4
16:29:12.554 -> euler	15.39	0.02	0.00	areal	-1	1	-2
16:29:12.554 -> euler	15.39	0.02	0.00	areal	0	1	-3
16:29:12.554 -> euler	15.39	0.02	0.00	areal	1	1	-5
16:29:12.588 -> euler	15.39	0.02	0.00	areal	0	1	-4
16:29:12.588 -> euler	15.39	0.02	0.00	areal	-1	1	-3
16:29:12.588 -> euler	15.39	0.02	-0.00	areal	-1	0	-2
16:29:12.628 -> euler	15.39	0.02	-0.00	areal	-2	0	0
16:29:12.628 -> euler	15.39	0.02	-0.00	areal	-2	0	0
16:29:12.628 -> euler	15.39	0.02	-0.00	areal	-2	0	0
16:29:12.628 -> euler	15.39	0.02	-0.00	areal	-1	0	0
16:29:12.671 -> euler	15.39	0.02	0.00	areal	-2	0	-2
16:29:12.671 -> euler	15.39	0.02	0.00	areal	-2	0	-3
16:29:12.671 -> euler	15.39	0.02	0.00	areal	-2	0	-4
16:29:12.671 -> euler	15.39	0.02	0.00	areal	0	0	-2
16:29:12.712 -> euler	15.39	0.02	0.00	areal	-2	-1	-4
16:29:12.712 -> euler	15.39	0.02	0.00	areal	-2	-2	-4
16:29:12.712 -> euler	15.39	0.02	0.00	areal	-2	-1	-5
16:29:12.712 -> euler	15.39	0.01	0.00	areal	-1	0	-5
16:29:12.754 -> euler	15.39	0.01	0.00	areal	0	0	-4
16:29:12.754 -> euler	15.39	0.01	-0.01	areal	0	0	-2
16:29:12.754 -> euler	15.39	0.01	0.00	areal	1	0	-3
16:29:12.754 -> euler	15.39	0.01	0.00	areal	1	1	-5
16:29:12.754 -> euler	15.39	0.01	0.00	areal	1	2	-5
16:29:12.793 -> euler	15.39	0.01	0.00	areal	2	1	-6
16:29:12.793 -> euler	15.39	0.01	0.00	areal	2	1	-4
16:29:12.793 -> euler	15.39	0.01	0.00	areal	1	1	-3
16:29:12.834 -> euler	15.39	0.01	0.00	areal	1	3	-1
16:29:12.834 -> euler	15.39	0.01	-0.01	areal	1	1	0
16:29:12.834 -> euler	15.39	0.01	-0.01	areal	0	0	0
16:29:12.834 -> euler	15.39	0.01	-0.01	areal	0	0	-1
16:29:12.834 -> euler	15.39	0.01	-0.01	areal	0	0	-1
16:29:12.873 -> euler	15.39	0.01	-0.01	areal	0	0	-2
16:29:12.873 -> euler	15.39	0.01	-0.01	areal	0	-1	-2
16:29:12.873 -> euler	15.39	0.01	-0.01	areal	0	0	-4
16:29:12.873 -> euler	15.39	0.01	-0.01	areal	0	-1	-5
16:29:12.913 -> euler	15.39	0.01	-0.01	areal	0	-1	-4
16:29:12.913 -> euler	15.39	0.01	-0.01	areal	0	-1	-4
16:29:12.913 -> euler	15.39	0.01	-0.01	areal	0	-1	-3
16:29:12.913 -> euler	15.39	0.01	-0.01	areal	1	-1	-3
16:29:12.954 -> euler	15.39	0.01	-0.01	areal	0	-1	-1
16:29:12.954 -> euler	15.39	0.01	-0.01	areal	1	0	0
16:29:12.954 -> euler	15.39	0.01	-0.01	areal	1	0	-1
16:29:12.954 -> euler	15.39	0.01	-0.01	areal	0	0	-3
16:29:12.996 -> euler	15.39	0.01	-0.01	areal	-2	0	-2
16:29:12.996 -> euler	15.39	0.01	-0.01	areal	0	0	-2
16:29:12.996 -> euler	15.39	0.01	-0.01	areal	0	1	-2
16:29:12.996 -> euler	15.39	0.01	-0.01	areal	0	1	-3
16:29:13.038 -> euler	15.39	0.01	-0.01	areal	-1	0	-3
16:29:13.038 -> euler	15.39	0.01	-0.01	areal	0	0	-4
